study_hours,attendance_percent,assignment_score,previous_score,sleep_hours,internet_access,passed
5.7,82.7,47.5,65.4,6.3,1,1
2.61,68.5,61.7,73.1,8.0,1,0
6.73,92.6,77.1,61.1,7.1,1,1
7.16,67.8,68.3,59.4,6.0,1,0
0.51,67.7,58.9,67.5,5.8,1,0
2.0,83.0,58.5,35.3,4.8,1,1
5.29,85.9,57.9,73.6,7.1,1,1
4.27,81.8,55.0,66.0,6.4,1,1
4.96,54.1,100.0,66.6,4.0,1,0
3.04,83.0,75.1,81.4,6.2,1,1
7.02,62.6,85.1,34.8,5.7,0,1
6.79,79.1,61.7,34.4,8.7,1,1
5.15,57.5,66.8,70.4,4.8,1,0
7.59,81.8,57.9,65.9,5.1,1,1
6.08,65.5,24.9,68.7,8.1,1,1
3.02,59.3,46.6,58.6,8.4,1,1
5.85,85.3,39.2,76.6,5.9,1,0
2.79,79.1,31.8,80.9,6.0,1,0
7.02,68.0,49.7,73.7,7.5,1,1
4.89,94.9,92.5,61.8,4.0,1,1
4.57,70.3,69.2,32.3,4.6,1,1
3.43,76.4,91.9,78.3,6.5,1,1
7.81,79.5,77.0,85.5,8.7,1,1
4.64,67.9,83.3,76.3,6.3,1,0
4.01,82.1,54.7,51.9,6.9,0,1
4.19,69.1,78.9,76.8,8.2,0,0
6.22,70.6,82.4,79.8,9.3,1,1
5.84,93.7,60.2,90.9,6.1,1,1
5.95,62.5,79.5,52.0,6.8,1,0
5.99,44.6,79.6,62.4,9.0,1,1
9.93,96.9,60.7,78.0,5.0,1,1
4.07,100.0,50.9,66.9,8.0,1,0
3.82,70.7,49.9,48.1,5.6,1,0
3.13,50.8,71.5,72.6,6.9,1,0
6.42,72.0,75.6,75.3,6.5,1,1
7.6,72.3,56.5,67.4,5.7,1,0
4.74,73.5,70.5,69.5,5.6,1,0
3.07,61.5,79.7,61.9,7.1,1,1
3.1,83.5,80.5,89.7,8.0,1,1
6.5,82.8,96.4,51.6,6.6,1,1
6.71,56.6,91.7,56.6,6.9,1,1
6.25,85.1,53.0,66.2,7.5,1,1
3.47,100.0,98.6,80.1,5.6,1,1
